series,author,gender,author_pos,release_year,location_pos,location_name
Band 116,K. H. Scheer,male,a1,1963.0,l2,Trakarat
Band 1160,Kurt Mahr,male,a1,1983.0,l1,M 82
Band 1161,Kurt Mahr,male,a1,1983.0,l1,M 82
Band 1162,H. G. Ewers,male,a1,1983.0,l1,Terra
Band 1163,Thomas Ziegler,male,a1,1983.0,l1,Terra
Band 1164,Arndt Ellmer,male,a1,1983.0,l1,Grauer Korridor
Band 1164,Arndt Ellmer,male,a1,1983.0,l2,Milchstraße
Band 1165,William Voltz,male,a1,1983.0,l1,Terra
Band 1166,Detlev G. Winter,male,a1,1983.0,l1,M 82
Band 1167,Marianne Sydow,female,a1,1984.0,l1,M 82
Band 1168,H. G. Ewers,male,a1,1984.0,l1,M 82
Band 1169,Kurt Mahr,male,a1,1984.0,l1,M 82
Band 117,Clark Darlton,male,a1,1963.0,l1,Drorah
Band 117,Clark Darlton,male,a1,1963.0,l2,Terra
Band 117,Clark Darlton,male,a1,1963.0,l3,Xorbaty
Band 117,Clark Darlton,male,a1,1963.0,l4,ODIN
Band 1170,Kurt Mahr,male,a1,1984.0,l1,BASIS
Band 1171,Clark Darlton,male,a1,1984.0,l1,EDEN II
Band 1172,Arndt Ellmer,male,a1,1984.0,l1,Solsystem
Band 1173,Detlev G. Winter,male,a1,1984.0,l1,Terra
Band 1174,Ernst Vlcek,male,a1,1984.0,l1,Grauer Korridor
Band 1175,H. G. Ewers,male,a1,1984.0,l1,Solsystem
Band 1176,H. G. Ewers,male,a1,1984.0,l1,Solsystem
Band 1177,Kurt Mahr,male,a1,1984.0,l1,BASIS
Band 1178,Kurt Mahr,male,a1,1984.0,l1,Endlose Armada
Band 1178,Kurt Mahr,male,a1,1984.0,l2,Pforte des Loolandre
Band 1178,Kurt Mahr,male,a1,1984.0,l3,M 82
Band 1179,H. G. Francis,male,a1,1984.0,l1,Vorhof des Loolandre
Band 118,Kurt Mahr,male,a1,1963.0,l1,Azgola
Band 1180,H. G. Francis,male,a1,1984.0,l1,BASIS
Band 1180,H. G. Francis,male,a1,1984.0,l2,Loolandre
Band 1181,Marianne Sydow,female,a1,1984.0,l1,Vorhof des Loolandre
Band 1182,Arndt Ellmer,male,a1,1984.0,l1,Milchstraße
Band 1183,Detlev G. Winter,male,a1,1984.0,l1,Zülüt
Band 1184,Thomas Ziegler,male,a1,1984.0,l1,Eastside
Band 1185,Thomas Ziegler,male,a1,1984.0,l1,Eastside
Band 1186,Ernst Vlcek,male,a1,1984.0,l1,Eastside
Band 1187,H. G. Ewers,male,a1,1984.0,l1,im und am Loolandre
Band 1188,H. G. Ewers,male,a1,1984.0,l1,Loolandre
Band 1189,Marianne Sydow,female,a1,1984.0,l1,Loolandre
Band 119,William Voltz,male,a1,1963.0,l1,Snarfot
Band 1190,Kurt Mahr,male,a1,1984.0,l1,Loolandre
Band 1191,Kurt Mahr,male,a1,1984.0,l1,Loolandre
Band 1192,Arndt Ellmer,male,a1,1984.0,l1,Hundertsonnenwelt
Band 1193,Detlev G. Winter,male,a1,1984.0,l1,Hundertsonnenwelt
Band 1193,Detlev G. Winter,male,a1,1984.0,l2,Rando-1
Band 1194,Ernst Vlcek,male,a1,1984.0,l1,Hundertsonnenwelt
Band 1195,H. G. Francis,male,a1,1984.0,l1,Andro-Beta
Band 1196,H. G. Francis,male,a1,1984.0,l1,Andro-Beta
Band 1197,H. G. Ewers,male,a1,1984.0,l1,Loolandre
Band 1198,H. G. Ewers,male,a1,1984.0,l1,Loolandre
Band 1199,Kurt Mahr,male,a1,1984.0,l1,Loolandre
Band 12,Clark Darlton,male,a1,1961.0,l1,Ferrol
Band 120,K. H. Scheer,male,a1,1963.0,l1,Mechanica
Band 1200,Kurt Mahr,male,a1,1984.0,l1,Endlose Armada
Band 1201,Detlev G. Winter,male,a1,1984.0,l1,Endlose Armada
Band 1202,H. G. Francis,male,a1,1984.0,l1,Andro-Beta
Band 1203,H. G. Francis,male,a1,1984.0,l1,Andro-Beta
Band 1204,H. G. Ewers,male,a1,1984.0,l1,Andro-Beta
Band 1205,Thomas Ziegler,male,a1,1984.0,l1,Cortrans
Band 1205,Thomas Ziegler,male,a1,1984.0,l2,Starsen
Band 1206,Clark Darlton,male,a1,1984.0,l1,Starsen
Band 1207,Arndt Ellmer,male,a1,1984.0,l1,Starsen
Band 1208,Kurt Mahr,male,a1,1984.0,l1,Starsen
Band 1209,Kurt Mahr,male,a1,1984.0,l1,Starsen
Band 121,Clark Darlton,male,a1,1963.0,l1,Azgola
Band 1210,Arndt Ellmer,male,a1,1984.0,l1,Lokale Gruppe
Band 1211,Thomas Ziegler,male,a1,1984.0,l1,Lokale Gruppe
Band 1212,H. G. Francis,male,a1,1984.0,l1,Lokale Gruppe
Band 1213,H. G. Ewers,male,a1,1984.0,l1,Lokale Gruppe
Band 1214,H. G. Ewers,male,a1,1984.0,l1,BRÜTER
Band 1214,H. G. Ewers,male,a1,1984.0,l2,VERSTÄRKER
Band 1214,H. G. Ewers,male,a1,1984.0,l3,LAGER
Band 1215,Ernst Vlcek,male,a1,1984.0,l1,BRÜTER
Band 1215,Ernst Vlcek,male,a1,1984.0,l2,VERSTÄRKER
Band 1215,Ernst Vlcek,male,a1,1984.0,l3,LAGER
Band 1216,Ernst Vlcek,male,a1,1984.0,l1,Starsen
Band 1217,Peter Terrid,male,a1,1984.0,l1,Mhuthan
Band 1218,H. G. Francis,male,a1,1985.0,l1,Mhuthan
Band 1219,H. G. Francis,male,a1,1985.0,l1,Mhuthan
Band 122,Kurt Mahr,male,a1,1964.0,l1,Arkon I
Band 122,Kurt Mahr,male,a1,1964.0,l2,Arkon II
Band 122,Kurt Mahr,male,a1,1964.0,l3,Terra
Band 122,Kurt Mahr,male,a1,1964.0,l4,Kusma
Band 122,Kurt Mahr,male,a1,1964.0,l5,K 3605
Band 1220,H. G. Ewers,male,a1,1985.0,l1,LAGER
Band 1221,H. G. Ewers,male,a1,1985.0,l1,LAGER
Band 1221,H. G. Ewers,male,a1,1985.0,l2,BRÜTER
Band 1221,H. G. Ewers,male,a1,1985.0,l3,VERSTÄRKER
Band 1221,H. G. Ewers,male,a1,1985.0,l4,Rando-1
Band 1222,Arndt Ellmer,male,a1,1985.0,l1,Milchstraße
Band 1223,Detlev G. Winter,male,a1,1985.0,l1,Milchstraße
Band 1224,Thomas Ziegler,male,a1,1985.0,l1,Solsystem
Band 1224,Thomas Ziegler,male,a1,1985.0,l2,Milchstraße
Band 1225,Kurt Mahr,male,a1,1985.0,l1,Tiefenland
Band 1226,Kurt Mahr,male,a1,1985.0,l1,Tiefenland
Band 1227,Arndt Ellmer,male,a1,1985.0,l1,Tiefenland
Band 1228,H. G. Francis,male,a1,1985.0,l1,Tiefenland
Band 1229,Ernst Vlcek,male,a1,1985.0,l1,Tiefenland
Band 123,Kurt Brand,male,a1,1964.0,l1,Arkon III
Band 123,Kurt Brand,male,a1,1964.0,l2,Trump
Band 1230,Thomas Ziegler,male,a1,1985.0,l1,Milchstraße
